song,total,write,read,dwt,gen_fpid
song11.wav,0.305261,0.067083,0.008437,0.131533,0.063541
song12_extra.wav,0.295751,0.088966,0.007113,0.119743,0.062914
song14_extra.wav,0.269054,0.063364,0.007675,0.119458,0.062871
song15_extra.wav,0.267610,0.062461,0.006969,0.119343,0.062896
song16_extra.wav,0.267357,0.062184,0.007290,0.119414,0.062937
song17_extra.wav,0.270041,0.063028,0.006948,0.121570,0.062870
song18_extra.wav,0.272941,0.068304,0.006935,0.119292,0.062871
song19_extra.wav,0.283474,0.063188,0.007265,0.119343,0.078108
song20_extra.wav,0.268046,0.063181,0.007101,0.119336,0.062937
song21_extra.wav,0.267578,0.063018,0.006854,0.119326,0.062940
song22_extra.wav,0.268305,0.063454,0.006907,0.119301,0.062944
song23_extra.wav,0.267759,0.062712,0.007149,0.119231,0.062886
song24_extra.wav,0.267912,0.063372,0.006905,0.119195,0.062831
song26_extra.wav,0.267005,0.062597,0.006825,0.119233,0.062821
song27_extra.wav,0.267623,0.063155,0.006949,0.119194,0.062798
song28_extra.wav,0.268606,0.063010,0.007060,0.119174,0.063480
song44_extra.wav,0.268336,0.063366,0.006982,0.119235,0.062895
song45_extra.wav,0.267593,0.063124,0.006880,0.119167,0.062828
song46_extra.wav,0.277886,0.063191,0.006970,0.129117,0.062881
song47_extra.wav,0.267593,0.062941,0.006888,0.119365,0.062853
song49_extra.wav,0.281978,0.062903,0.006985,0.119265,0.077236
song4_extra.wav,0.267699,0.063162,0.006888,0.119327,0.062873
song50_extra.wav,0.269789,0.063512,0.007335,0.119187,0.063752
song51_extra.wav,0.267386,0.062330,0.006897,0.119370,0.062914
song52_extra.wav,0.267722,0.062912,0.006911,0.119464,0.062875
song53_extra.wav,0.268104,0.063416,0.006941,0.119161,0.062933
song54_extra.wav,0.268204,0.063629,0.006915,0.119295,0.062894
song56_extra.wav,0.267150,0.062807,0.006916,0.119044,0.062874
song57_extra.wav,0.267344,0.062717,0.006932,0.119243,0.062915
song58_extra.wav,0.267608,0.062920,0.006942,0.119139,0.062922
song59_extra.wav,0.267612,0.063078,0.006919,0.119263,0.062840
song5_extra.wav,0.276318,0.063089,0.006998,0.127373,0.062967
