song,total,write,read,dwt,gen_fpid
song11.wav,0.737228,0.214048,0.025269,0.166147,0.160351
song12_extra.wav,0.530323,0.160246,0.018143,0.116709,0.156851
song14_extra.wav,0.496431,0.127979,0.017403,0.115375,0.155181
song15_extra.wav,0.496480,0.125128,0.017282,0.114050,0.155339
song16_extra.wav,0.484730,0.125253,0.017510,0.114190,0.155520
song17_extra.wav,0.548279,0.133466,0.019644,0.127483,0.167198
song18_extra.wav,0.546755,0.134536,0.020208,0.137914,0.167214
song19_extra.wav,0.536203,0.134612,0.019810,0.127413,0.168613
song20_extra.wav,0.540218,0.140851,0.019619,0.127030,0.166510
song21_extra.wav,0.542825,0.142866,0.020060,0.126521,0.167284
song22_extra.wav,0.552838,0.140533,0.019893,0.127987,0.177896
song23_extra.wav,0.532364,0.133381,0.019857,0.126603,0.167715
song24_extra.wav,0.530434,0.132803,0.018369,0.126829,0.166621
song26_extra.wav,0.554019,0.141102,0.020315,0.130710,0.166934
song27_extra.wav,0.519819,0.133608,0.020571,0.127166,0.152230
song28_extra.wav,0.533348,0.133721,0.020005,0.127034,0.166934
song44_extra.wav,0.544977,0.145387,0.019627,0.126898,0.167263
song45_extra.wav,0.546067,0.137990,0.019556,0.135554,0.166883
song46_extra.wav,0.532094,0.133959,0.020072,0.126687,0.166703
song47_extra.wav,0.531956,0.133019,0.019576,0.126929,0.167476
song49_extra.wav,0.540963,0.142195,0.019967,0.126951,0.166709
song4_extra.wav,0.481342,0.133959,0.020178,0.126976,0.114374
song50_extra.wav,0.531550,0.133076,0.019820,0.126633,0.167059
song51_extra.wav,0.543262,0.144388,0.020015,0.126727,0.166846
song52_extra.wav,0.540944,0.134199,0.019521,0.127032,0.174803
song53_extra.wav,0.520802,0.135212,0.015423,0.127996,0.162985
song54_extra.wav,0.449605,0.114366,0.015275,0.111219,0.147636
song56_extra.wav,0.440943,0.113351,0.015299,0.104480,0.147246
song57_extra.wav,0.440562,0.113592,0.015286,0.104046,0.147468
song58_extra.wav,0.443092,0.118690,0.011264,0.115647,0.136467
song59_extra.wav,0.379505,0.094750,0.011780,0.091257,0.136785
song5_extra.wav,0.378914,0.094674,0.011444,0.091233,0.136844
