song,total,write,read,gen_fpid
song11.wav,0.520386,0.183919,0.024649,0.186525
song12_extra.wav,0.382083,0.102845,0.016003,0.212274
song14_extra.wav,0.383012,0.108261,0.015585,0.210247
song15_extra.wav,0.377713,0.106323,0.014539,0.209211
song16_extra.wav,0.379041,0.107086,0.014884,0.209246
song17_extra.wav,0.384385,0.112757,0.014856,0.208928
song18_extra.wav,0.377042,0.106209,0.014942,0.208898
song19_extra.wav,0.386577,0.106719,0.022419,0.209622
song20_extra.wav,0.327669,0.106579,0.015037,0.158464
song21_extra.wav,0.359111,0.105912,0.015113,0.190893
song22_extra.wav,0.361687,0.106063,0.014983,0.192643
song23_extra.wav,0.379629,0.132793,0.018571,0.167610
song24_extra.wav,0.368867,0.122471,0.018967,0.167114
song26_extra.wav,0.378110,0.122495,0.018943,0.175676
song27_extra.wav,0.394179,0.129264,0.018773,0.185619
song28_extra.wav,0.369349,0.121473,0.018880,0.167783
song44_extra.wav,0.370977,0.123687,0.018825,0.167285
song45_extra.wav,0.379648,0.123625,0.018657,0.167614
song46_extra.wav,0.376964,0.131255,0.018409,0.166787
song47_extra.wav,0.372693,0.126578,0.018409,0.167213
song49_extra.wav,0.368377,0.121834,0.018426,0.167424
song4_extra.wav,0.419881,0.122556,0.018540,0.217738
song50_extra.wav,0.368115,0.121698,0.018713,0.167194
song51_extra.wav,0.368221,0.121842,0.018357,0.167149
song52_extra.wav,0.385141,0.123899,0.031655,0.167797
song53_extra.wav,0.376681,0.131082,0.018176,0.166772
song54_extra.wav,0.367597,0.120480,0.018610,0.167080
song56_extra.wav,0.375774,0.129532,0.018413,0.167084
song57_extra.wav,0.421062,0.121955,0.018438,0.219164
song58_extra.wav,0.369126,0.122152,0.018480,0.167202
song59_extra.wav,0.368284,0.122275,0.018398,0.166909
song5_extra.wav,0.368042,0.121797,0.018486,0.166890
song60_extra.wav,0.375463,0.127186,0.018769,0.167454
song61_extra.wav,0.367085,0.121150,0.018486,0.166939
song63_extra.wav,0.415603,0.121992,0.017747,0.220331
song64_extra.wav,0.363531,0.101270,0.013492,0.205288
song65_extra.wav,0.368826,0.106728,0.013695,0.204687
song66_extra.wav,0.363693,0.101336,0.013382,0.205052
song67_extra.wav,0.361921,0.100123,0.013500,0.204656
song68_extra.wav,0.358544,0.100892,0.011093,0.193947
song69_extra.wav,0.325842,0.086967,0.011053,0.194005
song70_extra.wav,0.329766,0.091364,0.011068,0.193817
song71_extra.wav,0.332098,0.093698,0.011159,0.193600
song72_extra.wav,0.333007,0.086857,0.011153,0.193994
song73_extra.wav,0.314392,0.087500,0.011297,0.181292
song74_extra.wav,0.323273,0.095749,0.011152,0.187112
song75_extra.wav,0.306698,0.079768,0.011429,0.187212
song76_extra.wav,0.304509,0.078711,0.011175,0.187006
song78_extra.wav,0.278480,0.078993,0.011403,0.160353
song79_extra.wav,0.304611,0.078700,0.011252,0.187082
song7_extra.wav,0.304546,0.078623,0.011354,0.186752
song80_extra.wav,0.304792,0.078974,0.011022,0.187030
song81_extra.wav,0.274628,0.073854,0.009905,0.167199
song82_extra.wav,0.289999,0.074620,0.009743,0.182250
song83_extra.wav,0.289842,0.074305,0.009836,0.182205
song85_extra.wav,0.289472,0.074198,0.009656,0.182261
song86_extra.wav,0.291634,0.076056,0.009845,0.182388
song87_extra.wav,0.293616,0.078545,0.009599,0.182129
song88_extra.wav,0.289941,0.074467,0.009655,0.182454
song89_extra.wav,0.289295,0.074024,0.009793,0.181994
song8_extra.wav,0.288371,0.070564,0.008777,0.188569
song90_extra.wav,0.278167,0.070092,0.009014,0.178749
song92_extra.wav,0.277942,0.070251,0.008654,0.178658
song93_extra.wav,0.277922,0.070487,0.008642,0.178532
song94_extra.wav,0.278452,0.070620,0.008630,0.178738
song95_extra.wav,0.293275,0.070148,0.009031,0.193639
song96_extra.wav,0.278229,0.070329,0.008693,0.178843
song97_extra.wav,0.278551,0.070801,0.008584,0.178681
song98_extra.wav,0.288183,0.070605,0.008100,0.189502
song9_extra.wav,0.269970,0.067803,0.008055,0.176054
song0.wav,0.273725,0.068313,0.008315,0.179178
song10.wav,0.270180,0.067909,0.008101,0.176157
song111.wav,0.282537,0.067896,0.008159,0.188441
song113.wav,0.270201,0.068150,0.008070,0.176039
song115.wav,0.275232,0.073264,0.008120,0.175721
song117.wav,0.269720,0.067527,0.008133,0.175996
song119.wav,0.270212,0.067968,0.008115,0.176189
song120.wav,0.277692,0.078262,0.008031,0.174689
song105_extra.wav,0.264082,0.066229,0.007645,0.173928
song106_extra.wav,0.263920,0.066144,0.007618,0.173959
song107_extra.wav,0.263514,0.065652,0.007659,0.173963
song109_extra.wav,0.263086,0.065302,0.007830,0.173948
song10_extra.wav,0.263514,0.065735,0.007655,0.173976
song11_extra.wav,0.263786,0.066073,0.007578,0.173968
song1_extra.wav,0.264110,0.066380,0.007688,0.173830
song0_extra.wav,0.263428,0.065608,0.007600,0.173960
song100_extra.wav,0.264497,0.066451,0.008024,0.173982
song101_extra.wav,0.261769,0.064375,0.007745,0.172268
song102_extra.wav,0.258919,0.064636,0.007330,0.172355
song103_extra.wav,0.258079,0.063831,0.007243,0.172347
song104_extra.wav,0.266414,0.072019,0.007385,0.172225
song108_extra.wav,0.258891,0.064773,0.007307,0.172220
song13_extra.wav,0.258727,0.064495,0.007199,0.172344
song25_extra.wav,0.258526,0.063933,0.007342,0.172537
song29_extra.wav,0.258556,0.064254,0.007286,0.172260
song2_extra.wav,0.258787,0.064578,0.007350,0.172324
song30_extra.wav,0.258705,0.064133,0.007638,0.172146
song31_extra.wav,0.264067,0.072558,0.007013,0.170874
song32_extra.wav,0.255488,0.062829,0.008327,0.170803
song33_extra.wav,0.254910,0.063535,0.006980,0.170957
song34_extra.wav,0.257347,0.065872,0.007047,0.170859
song35_extra.wav,0.254449,0.062749,0.007277,0.170968
