song,total,write,read,gen_fpid
song11.wav,4.167666,0.183567,0.024441,3.824375
song12_extra.wav,3.985596,0.106337,0.016279,3.809923
song14_extra.wav,4.057149,0.108069,0.020050,3.874938
song15_extra.wav,4.080949,0.127781,0.022115,3.864156
song16_extra.wav,4.069820,0.134012,0.022675,3.838945
song17_extra.wav,4.073575,0.134804,0.021560,3.843363
song18_extra.wav,4.089211,0.135044,0.021999,3.859094
song19_extra.wav,4.092093,0.134462,0.021709,3.853700
song20_extra.wav,4.093175,0.134219,0.021493,3.864562
song21_extra.wav,4.074125,0.133221,0.022227,3.845904
song22_extra.wav,4.078866,0.134202,0.021834,3.850044
song23_extra.wav,4.083163,0.134866,0.022105,3.852678
song24_extra.wav,4.085200,0.135047,0.021961,3.854671
song26_extra.wav,4.096760,0.141651,0.022229,3.859058
song27_extra.wav,4.101417,0.133833,0.021775,3.872089
song28_extra.wav,4.081582,0.133001,0.022485,3.852640
song44_extra.wav,4.101513,0.134985,0.031110,3.861865
song45_extra.wav,4.060955,0.140598,0.021648,3.825458
song46_extra.wav,4.078918,0.133998,0.021882,3.849668
song47_extra.wav,4.050672,0.134012,0.021905,3.821620
song49_extra.wav,4.075776,0.133083,0.021782,3.848005
song4_extra.wav,4.075835,0.133923,0.021703,3.846473
song50_extra.wav,4.086333,0.134813,0.022215,3.856419
song51_extra.wav,4.084741,0.137711,0.021543,3.851618
song52_extra.wav,4.089877,0.142155,0.021780,3.845299
song53_extra.wav,4.102888,0.133445,0.021612,3.874933
song54_extra.wav,4.073858,0.138320,0.021511,3.840709
song56_extra.wav,4.056821,0.134258,0.021589,3.827637
song57_extra.wav,4.076965,0.134600,0.022225,3.846568
song58_extra.wav,4.093821,0.141629,0.021646,3.855970
song59_extra.wav,4.093470,0.132839,0.021829,3.865800
song5_extra.wav,4.084960,0.133534,0.021746,3.857429
song60_extra.wav,4.070258,0.133517,0.021791,3.841990
song61_extra.wav,4.077974,0.134326,0.021980,3.849172
song63_extra.wav,4.081363,0.134993,0.021664,3.842517
song64_extra.wav,4.112059,0.133149,0.021935,3.883674
song65_extra.wav,4.080990,0.134192,0.021493,3.852174
song66_extra.wav,4.082860,0.132125,0.021857,3.856118
song67_extra.wav,4.086753,0.140605,0.021642,3.851771
song68_extra.wav,4.069312,0.133820,0.021912,3.840637
song69_extra.wav,4.088388,0.150397,0.021537,3.838129
song70_extra.wav,4.105107,0.132543,0.021723,3.878529
song71_extra.wav,4.073841,0.133336,0.021456,3.847112
song72_extra.wav,4.080445,0.138512,0.021988,3.847315
song73_extra.wav,4.076030,0.135211,0.022027,3.846798
song74_extra.wav,4.086331,0.130566,0.022008,3.860479
song75_extra.wav,4.104936,0.139945,0.021632,3.870637
song76_extra.wav,4.074249,0.133005,0.021737,3.847267
song78_extra.wav,4.083715,0.133152,0.022283,3.855326
song79_extra.wav,4.080812,0.132828,0.021946,3.853380
song7_extra.wav,4.075700,0.134713,0.022059,3.838209
song80_extra.wav,4.099483,0.133478,0.021928,3.871034
song81_extra.wav,4.072760,0.133817,0.022419,3.843824
song82_extra.wav,4.064930,0.134368,0.021668,3.835987
song83_extra.wav,4.083294,0.133464,0.021875,3.854926
song85_extra.wav,4.072140,0.132642,0.022410,3.844504
song86_extra.wav,4.082686,0.142200,0.022154,3.839196
song87_extra.wav,4.095435,0.141307,0.022159,3.859505
song88_extra.wav,4.068395,0.133552,0.021677,3.840777
song89_extra.wav,4.088497,0.133332,0.022409,3.858724
song8_extra.wav,4.077128,0.141017,0.021862,3.840940
song90_extra.wav,4.074561,0.132766,0.022471,3.846490
song92_extra.wav,4.101433,0.130880,0.021858,3.875755
song93_extra.wav,4.080785,0.140273,0.021822,3.845636
song94_extra.wav,4.067003,0.133145,0.021848,3.839407
song95_extra.wav,4.067552,0.133769,0.021933,3.838885
song96_extra.wav,4.082049,0.132894,0.022095,3.846268
song97_extra.wav,4.090503,0.132970,0.021638,3.863117
song98_extra.wav,4.069373,0.133700,0.022010,3.840738
song9_extra.wav,4.059421,0.132820,0.021662,3.832449
song0.wav,4.106714,0.134434,0.021805,3.876478
song10.wav,4.072835,0.141671,0.021988,3.834976
song111.wav,4.086121,0.132607,0.019872,3.860291
song113.wav,4.066316,0.134117,0.022004,3.836601
song115.wav,4.068931,0.133583,0.022033,3.840093
song117.wav,4.069925,0.134760,0.021941,3.840532
song119.wav,4.079623,0.132769,0.021768,3.851982
song120.wav,4.082506,0.141788,0.022007,3.840533
song105_extra.wav,4.090817,0.133471,0.021987,3.861992
song106_extra.wav,4.081660,0.133322,0.021671,3.853963
song107_extra.wav,4.068028,0.133009,0.028505,3.833187
song109_extra.wav,4.061305,0.133194,0.021799,3.832576
song10_extra.wav,4.070767,0.142636,0.021929,3.832841
song11_extra.wav,4.093150,0.132196,0.021905,3.865612
song1_extra.wav,4.060624,0.134314,0.021853,3.831322
song0_extra.wav,4.067174,0.133652,0.021838,3.838194
song100_extra.wav,4.075013,0.134580,0.021811,3.846113
song101_extra.wav,4.061304,0.140368,0.021462,3.826079
song102_extra.wav,4.082485,0.132919,0.022031,3.854753
song103_extra.wav,4.072819,0.134074,0.022000,3.843804
song104_extra.wav,4.060236,0.133838,0.021807,3.831394
song108_extra.wav,4.070768,0.133879,0.021718,3.842053
song13_extra.wav,4.077324,0.133068,0.021738,3.849582
song25_extra.wav,4.076298,0.134583,0.021709,3.835517
song29_extra.wav,4.063919,0.132850,0.021966,3.836568
song2_extra.wav,4.065476,0.133559,0.021808,3.837278
song30_extra.wav,4.061336,0.134389,0.022277,3.831600
song31_extra.wav,4.065684,0.134318,0.021946,3.836562
song32_extra.wav,4.067000,0.138631,0.021658,3.833013
song33_extra.wav,4.090408,0.132816,0.022146,3.862152
song34_extra.wav,4.060005,0.133835,0.021799,3.831400
song35_extra.wav,4.062174,0.132821,0.021624,3.836218
song36_extra.wav,4.071973,0.139904,0.021833,3.837883
song37_extra.wav,4.071283,0.141095,0.021801,3.834947
song38_extra.wav,4.085412,0.133490,0.021694,3.857617
song39_extra.wav,4.061070,0.133726,0.021662,3.833078
song3_extra.wav,4.060062,0.133161,0.022004,3.831753
song40_extra.wav,4.064818,0.132476,0.021531,3.838023
song41_extra.wav,4.087307,0.134498,0.021887,3.858011
song42_extra.wav,4.070912,0.140994,0.022066,3.827707
song43_extra.wav,4.075657,0.133750,0.021852,3.847542
song48_extra.wav,4.055140,0.133775,0.022077,3.826350
song55_extra.wav,4.054878,0.133316,0.021951,3.826951
song62_extra.wav,4.060382,0.133872,0.021896,3.831510
song6_extra.wav,4.072612,0.133224,0.021666,3.843871
song77_extra.wav,4.083032,0.132473,0.022144,3.855717
song84_extra.wav,4.058712,0.133328,0.021291,3.831224
song91_extra.wav,4.055161,0.133263,0.021996,3.826948
song99_extra.wav,4.061200,0.133233,0.021757,3.833800
song110.wav,4.061442,0.139963,0.021474,3.827141
song112.wav,4.079490,0.133261,0.021994,3.851277
song114.wav,4.061943,0.133594,0.021821,3.834251
song116.wav,4.054724,0.133463,0.021125,3.827251
song118.wav,4.066818,0.141355,0.022350,3.830285
song121.wav,4.111545,0.134130,0.022059,3.882327
song122.wav,4.069676,0.132475,0.021825,3.842445
song123.wav,4.070274,0.131851,0.021772,3.843798
song124.wav,4.055970,0.132899,0.022225,3.827728
song125.wav,4.109649,0.132958,0.022326,3.881541
song126.wav,4.047330,0.130728,0.021720,3.821308
song127.wav,4.074725,0.132434,0.021974,3.846777
song128.wav,4.114756,0.139907,0.021744,3.880512
song129.wav,4.103164,0.133452,0.021666,3.874989
