song,total,write,read,gen_fpid
song11.wav,0.477418,0.179208,0.036408,0.131015
song12_extra.wav,0.288727,0.119597,0.015382,0.098285
song14_extra.wav,0.278610,0.107867,0.014575,0.095714
song15_extra.wav,0.268285,0.108477,0.013939,0.095059
song16_extra.wav,0.267971,0.109355,0.014169,0.094536
song17_extra.wav,0.314802,0.125666,0.017876,0.107054
song18_extra.wav,0.151664,0.063481,0.009144,0.065110
song19_extra.wav,0.148207,0.063552,0.006272,0.064889
song20_extra.wav,0.148488,0.063819,0.006332,0.064919
song21_extra.wav,0.148067,0.063653,0.006259,0.064780
song22_extra.wav,0.148229,0.063563,0.006371,0.064793
song23_extra.wav,0.148170,0.063346,0.006315,0.064883
song24_extra.wav,0.147554,0.062773,0.006516,0.064829
song26_extra.wav,0.148274,0.063693,0.006325,0.064716
song27_extra.wav,0.175346,0.090670,0.006284,0.064807
song28_extra.wav,0.147953,0.063401,0.006297,0.064786
song44_extra.wav,0.149754,0.063783,0.006403,0.065453
song45_extra.wav,0.150864,0.063980,0.006632,0.065819
song46_extra.wav,0.154918,0.068875,0.006444,0.065447
song47_extra.wav,0.149545,0.063668,0.006395,0.065432
song49_extra.wav,0.150100,0.063997,0.006410,0.065464
song4_extra.wav,0.149488,0.063587,0.006380,0.065364
song50_extra.wav,0.149542,0.063517,0.006444,0.065377
song51_extra.wav,0.150070,0.063906,0.006378,0.065539
song52_extra.wav,0.150238,0.064332,0.006385,0.065421
song53_extra.wav,0.149906,0.063899,0.006423,0.065360
song54_extra.wav,0.149688,0.063793,0.006460,0.065345
song56_extra.wav,0.149822,0.063813,0.006352,0.065385
song57_extra.wav,0.149363,0.063386,0.006336,0.065391
song58_extra.wav,0.150388,0.064501,0.006400,0.065363
song59_extra.wav,0.131398,0.072503,0.006646,0.037978
song5_extra.wav,0.149826,0.063683,0.006432,0.065507
song60_extra.wav,0.150485,0.064455,0.006510,0.065349
song61_extra.wav,0.153163,0.066914,0.006433,0.065491
song63_extra.wav,0.149557,0.063580,0.006432,0.065405
song64_extra.wav,0.149598,0.063719,0.006392,0.065386
song65_extra.wav,0.149822,0.063915,0.006463,0.065329
song66_extra.wav,0.149139,0.063183,0.006413,0.065328
song67_extra.wav,0.151699,0.064123,0.008016,0.065311
song68_extra.wav,0.150203,0.064151,0.006363,0.065432
song69_extra.wav,0.150487,0.064342,0.006729,0.065359
song70_extra.wav,0.155765,0.069613,0.006473,0.065384
song71_extra.wav,0.150401,0.064488,0.006416,0.065431
