song,total,write,read,dwt,gen_fpid
song11.wav,0.656104,0.188162,0.020539,0.160796,0.150661
song12_extra.wav,0.484247,0.105667,0.014556,0.102308,0.202716
song14_extra.wav,0.484569,0.108044,0.014065,0.101460,0.203346
song15_extra.wav,0.431320,0.108187,0.014073,0.105358,0.146740
song16_extra.wav,0.494662,0.109137,0.013862,0.101757,0.203409
song17_extra.wav,0.483752,0.108518,0.014148,0.101370,0.203607
song18_extra.wav,0.488137,0.108044,0.014410,0.101496,0.202243
song19_extra.wav,0.502205,0.139792,0.017515,0.115014,0.157832
song20_extra.wav,0.487167,0.124598,0.017647,0.114934,0.158255
song21_extra.wav,0.504791,0.143638,0.017454,0.114214,0.157664
song22_extra.wav,0.485633,0.124019,0.017417,0.114554,0.157377
song23_extra.wav,0.559616,0.137671,0.018270,0.114501,0.217188
song24_extra.wav,0.492874,0.124150,0.024073,0.114789,0.157224
song26_extra.wav,0.499100,0.138118,0.017866,0.114373,0.157155
song27_extra.wav,0.486295,0.125189,0.017630,0.114192,0.157685
song28_extra.wav,0.498170,0.138054,0.017284,0.114180,0.157200
song44_extra.wav,0.491706,0.130909,0.017555,0.114046,0.157456
song45_extra.wav,0.501580,0.139923,0.017466,0.114159,0.157420
song46_extra.wav,0.544802,0.123878,0.017384,0.114052,0.217587
song47_extra.wav,0.500133,0.123878,0.018322,0.114290,0.157347
song49_extra.wav,0.485268,0.124365,0.017213,0.114542,0.157429
song4_extra.wav,0.500358,0.137828,0.017718,0.115013,0.157474
song50_extra.wav,0.485968,0.125341,0.017325,0.114599,0.157538
song51_extra.wav,0.500065,0.139273,0.017521,0.114688,0.157192
song52_extra.wav,0.490055,0.128428,0.017479,0.114447,0.157602
song53_extra.wav,0.499441,0.137836,0.017559,0.114298,0.157489
song54_extra.wav,0.485213,0.123657,0.017641,0.114275,0.157245
song56_extra.wav,0.499835,0.137750,0.017646,0.114336,0.157766
song57_extra.wav,0.490191,0.123917,0.023028,0.113951,0.157587
song58_extra.wav,0.498046,0.137649,0.017623,0.113862,0.157449
song59_extra.wav,0.406196,0.101413,0.013017,0.097308,0.142659
song5_extra.wav,0.469776,0.102218,0.019438,0.097346,0.198730
song60_extra.wav,0.426711,0.102125,0.013269,0.097598,0.161711
song61_extra.wav,0.471861,0.102494,0.013233,0.097690,0.198581
song63_extra.wav,0.455945,0.102873,0.010672,0.097576,0.195725
song64_extra.wav,0.416411,0.088579,0.010865,0.087476,0.189410
song65_extra.wav,0.415263,0.088214,0.010621,0.087485,0.189189
song66_extra.wav,0.415298,0.088024,0.010952,0.087389,0.189127
song67_extra.wav,0.414858,0.087932,0.010673,0.087305,0.189101
song68_extra.wav,0.434025,0.088091,0.011007,0.087329,0.202625
song69_extra.wav,0.395471,0.081001,0.010887,0.087410,0.183063
song70_extra.wav,0.354905,0.086329,0.011077,0.081362,0.142951
song71_extra.wav,0.388769,0.080453,0.010947,0.081267,0.182991
song72_extra.wav,0.388304,0.079946,0.010902,0.081313,0.183029
song73_extra.wav,0.390515,0.079789,0.013151,0.081082,0.183082
song74_extra.wav,0.384286,0.080383,0.009414,0.081132,0.181728
song75_extra.wav,0.356399,0.074929,0.009381,0.064731,0.179147
song76_extra.wav,0.369084,0.075858,0.009325,0.077154,0.178876
song78_extra.wav,0.368732,0.075063,0.009337,0.076975,0.179162
song79_extra.wav,0.368674,0.074926,0.009398,0.077155,0.178884
song7_extra.wav,0.336363,0.074670,0.009524,0.044637,0.179124
song80_extra.wav,0.369077,0.075378,0.009371,0.077457,0.178841
song81_extra.wav,0.354292,0.071465,0.008369,0.074077,0.175960
song82_extra.wav,0.354236,0.071476,0.008391,0.073849,0.175899
song83_extra.wav,0.321826,0.071029,0.008278,0.074082,0.143813
song85_extra.wav,0.354132,0.071093,0.008311,0.074361,0.175857
song86_extra.wav,0.353821,0.071128,0.008226,0.074053,0.175933
song87_extra.wav,0.330158,0.071880,0.008431,0.074163,0.151144
song88_extra.wav,0.354516,0.071091,0.008739,0.074311,0.175824
song89_extra.wav,0.350717,0.070434,0.007573,0.074051,0.174897
song8_extra.wav,0.308646,0.069119,0.009264,0.071793,0.136549
song90_extra.wav,0.343244,0.068963,0.007562,0.071643,0.173535
song92_extra.wav,0.343101,0.068602,0.007549,0.071637,0.173657
song93_extra.wav,0.352598,0.069314,0.007750,0.071649,0.182276
song94_extra.wav,0.349015,0.074542,0.007519,0.071652,0.173734
song95_extra.wav,0.343061,0.068409,0.007608,0.071755,0.173551
song96_extra.wav,0.337781,0.068593,0.007645,0.071674,0.168233
song97_extra.wav,0.346433,0.077797,0.007032,0.069863,0.171787
song98_extra.wav,0.334145,0.066022,0.007052,0.069764,0.171766
song9_extra.wav,0.334661,0.066515,0.007038,0.069844,0.171735
song0.wav,0.335179,0.067004,0.007111,0.069814,0.171773
song10.wav,0.302984,0.067106,0.007079,0.069926,0.139179
song111.wav,0.340623,0.072141,0.007030,0.069812,0.171925
song113.wav,0.335134,0.066823,0.007044,0.069926,0.171779
song115.wav,0.342744,0.074471,0.007039,0.069907,0.171775
song117.wav,0.334396,0.067571,0.006742,0.069824,0.171032
song119.wav,0.305768,0.065140,0.007982,0.068571,0.146169
song120.wav,0.328188,0.064912,0.006692,0.068467,0.170238
song105_extra.wav,0.348082,0.072907,0.006810,0.080272,0.170214
song106_extra.wav,0.328741,0.065525,0.006652,0.068360,0.170232
song107_extra.wav,0.336620,0.073160,0.006703,0.068298,0.170517
song109_extra.wav,0.328324,0.065102,0.006732,0.068328,0.170178
song10_extra.wav,0.336182,0.072866,0.006730,0.068413,0.170243
song11_extra.wav,0.300329,0.065460,0.006760,0.068417,0.141678
song1_extra.wav,0.329814,0.070490,0.006613,0.067174,0.169282
song0_extra.wav,0.323256,0.064219,0.006399,0.067147,0.168985
song100_extra.wav,0.322729,0.063816,0.006336,0.067155,0.168987
song101_extra.wav,0.323531,0.064249,0.006411,0.067220,0.169009
song102_extra.wav,0.323071,0.063890,0.006367,0.067271,0.168984
song103_extra.wav,0.323136,0.064088,0.006428,0.067057,0.169082
song104_extra.wav,0.303148,0.063948,0.006518,0.067094,0.148938
song108_extra.wav,0.323422,0.064404,0.006425,0.067187,0.169027
song13_extra.wav,0.323596,0.064079,0.007556,0.067196,0.168300
song25_extra.wav,0.321098,0.063894,0.006294,0.066576,0.168480
song29_extra.wav,0.332329,0.063713,0.006448,0.077645,0.168525
song2_extra.wav,0.321420,0.063988,0.006280,0.066702,0.168562
song30_extra.wav,0.321115,0.063571,0.006368,0.066641,0.168477
song31_extra.wav,0.321118,0.063682,0.006291,0.066744,0.168551
song32_extra.wav,0.320816,0.063288,0.006313,0.066731,0.168572
song33_extra.wav,0.312345,0.063188,0.006552,0.066686,0.160011
song34_extra.wav,0.324429,0.063960,0.006311,0.069381,0.168579
song35_extra.wav,0.288048,0.063603,0.006742,0.066666,0.135004
song36_extra.wav,0.321228,0.063466,0.006313,0.066853,0.168609
song37_extra.wav,0.328471,0.063614,0.006424,0.066813,0.175419
song38_extra.wav,0.320983,0.063692,0.006262,0.066747,0.168457
song39_extra.wav,0.321424,0.063544,0.006321,0.066777,0.168588
song3_extra.wav,0.321109,0.063507,0.006300,0.066782,0.168579
song40_extra.wav,0.320453,0.062975,0.006359,0.066708,0.168511
song41_extra.wav,0.329901,0.071304,0.007425,0.066729,0.168528
song42_extra.wav,0.320765,0.063426,0.006233,0.066621,0.168543
song43_extra.wav,0.322946,0.064028,0.006365,0.066724,0.169866
song48_extra.wav,0.320974,0.063549,0.006276,0.066713,0.168503
